handle,name,status,followers_count,posts_count,indexed_at,error_reason,fetched_at
joeposnanski.com,Joe Posnanski,ok,18219,812,2025-05-18T18:36:25.138Z,,2026-07-01T16:57:28.888989+00:00
joerogantop.bsky.social,Joe Rogan,ok,7942,10,2024-01-20T09:01:45.029Z,,2026-07-01T16:57:29.298319+00:00
socalwaterwars.bsky.social,John Earl,ok,405,287,2025-04-13T05:28:14.772Z,,2026-07-01T16:57:29.697850+00:00
gruber.foo,John Gruber,ok,53875,1009,2025-11-07T17:38:55.252Z,,2026-07-01T16:57:30.090662+00:00
johniadarola.bsky.social,John Iadarola,ok,34738,731,2024-11-13T15:01:37.579Z,,2026-07-01T16:57:30.508220+00:00
jonbois.bsky.social,Jon Bois,ok,339803,2527,2026-04-07T04:01:11.854Z,,2026-07-01T16:57:30.892137+00:00
jonathanlarsen.bsky.social,Jonathan Larsen,ok,8751,1310,2026-05-23T02:42:14.458Z,,2026-07-01T16:57:31.290964+00:00
jonathanmacri.bsky.social,Jonathan Macri,ok,9958,600,2025-12-17T13:37:28.026Z,,2026-07-01T16:57:31.896667+00:00
jonnelledge.bsky.social,Jonn Elledge,ok,53880,19902,2026-05-08T09:15:35.363Z,,2026-07-01T16:57:32.299013+00:00
jordanschneider.bsky.social,Jordan Schneider,ok,817,186,2024-12-06T13:54:56.044Z,,2026-07-01T16:57:32.694776+00:00
jordanuhl.com,Jordan Uhl,ok,106049,2514,2026-04-01T19:17:24.747Z,,2026-07-01T16:57:33.096861+00:00
